Source URL,Captured file,Source HTTP status,SHA-256
https://floka.casethemes.net,index.html,200,518ebc5e925eeb5466568eeb619027c4a3094bb9db5ae0e9d20a5a4187340365
https://floka.casethemes.net/,index.html,200,518ebc5e925eeb5466568eeb619027c4a3094bb9db5ae0e9d20a5a4187340365
https://floka.casethemes.net/404-error,404-error/index.html,404,458765b0ee864480620805877864af918b49d17d4713e58bca995d1a0f226c44
https://floka.casethemes.net/about-us/,about-us/index.html,200,3743506de2a6b234b78061f9634d5c0c97b7f0d904e86385ada391ba8b7314d1
https://floka.casethemes.net/author/admin/,author/admin/index.html,200,b57f13821270342d4ef386dc234bc1a1f63169fba930231ce5e8c91c33f67082
https://floka.casethemes.net/author/admin/page/2/,author/admin/page/2/index.html,200,6ac19ffef99da8b5990d5ea699a004e9df9c949865b7ed1163c36211bfa21341
https://floka.casethemes.net/author/admin/page/3/,author/admin/page/3/index.html,200,ee8c308a86f63069ca395b39a46af004b0268df34042ed0ee1c0de812dde6a5f
https://floka.casethemes.net/author/admin/page/4/,author/admin/page/4/index.html,200,bd07271cc1c8b3492b6daedc248eb2e081604908d0eef1ff18124c49514f4bf6
https://floka.casethemes.net/author/admin/page/5/,author/admin/page/5/index.html,200,173ea640c902c6b384f846597673adf13d9e62cd2a85748b8540a8223e45e109
https://floka.casethemes.net/blog-grid/,blog-grid/index.html,200,9e40992afd01f9b481cbed65a4a41ae3f6466a4df71161783a4292ef75ea4eda
https://floka.casethemes.net/blog-standard/,blog-standard/index.html,200,733ee7992407792ad8b0b9861a0cf85beae7f88e0467832cbb5e868cdc0facc8
https://floka.casethemes.net/blog-standard/?sidebar-blog=0,blog-standard/_variant-967222dce0/index.html,200,28480000e11e8f2b40869e5500ad5c2e72998d8987d968149ef98c3c852f03ca
https://floka.casethemes.net/blog-standard/?sidebar-blog=left,blog-standard/_variant-c9aa1404d4/index.html,200,ccb174ec0ca474b66caff5017f207479a5128fe27f845f68c6b3b35a831062df
https://floka.casethemes.net/blog-standard/?sidebar-blog=right,blog-standard/_variant-0ff70342ea/index.html,200,179609944cdc9f5afacd93c9017f9f750288753b3ec7c3ad231b41e98a9f3fca
https://floka.casethemes.net/blog-standard/page/2/,blog-standard/page/2/index.html,200,734d34bd0163bf9208e44d517580930e921fa866591af728770ef734114d7f6f
https://floka.casethemes.net/blog-standard/page/2/?sidebar-blog=0,blog-standard/page/2/_variant-967222dce0/index.html,200,b3954e08b0bc1e0918543c2e839e1e0e7d34a52e590582901cc59e4676d877c8
https://floka.casethemes.net/blog-standard/page/2/?sidebar-blog=left,blog-standard/page/2/_variant-c9aa1404d4/index.html,200,4a7f69e9e0cff430124cbd2306da26c2d195768a8878b783e129ef874a724f74
https://floka.casethemes.net/blog-standard/page/2/?sidebar-blog=right,blog-standard/page/2/_variant-0ff70342ea/index.html,200,6ace01aa74c3885a505e569d56cf72635f4d11c450e211ef78a707a5ea9e752a
https://floka.casethemes.net/blog-standard/page/3/,blog-standard/page/3/index.html,200,2b56179287e98e38d9e557d8b1fe3bb583aeb2f69b887e6b8a63c67bf78b07e6
https://floka.casethemes.net/blog-standard/page/3/?sidebar-blog=0,blog-standard/page/3/_variant-967222dce0/index.html,200,4f5426317aed8075077099ce175e4a7979945a14827f273b9d6ffdb54f657c0f
https://floka.casethemes.net/blog-standard/page/3/?sidebar-blog=left,blog-standard/page/3/_variant-c9aa1404d4/index.html,200,ccec1ab9a0ae8a77992a0ba77c1d4a93b5ed1e0551b5fc36fa621680e341728d
https://floka.casethemes.net/blog-standard/page/3/?sidebar-blog=right,blog-standard/page/3/_variant-0ff70342ea/index.html,200,a1e2b7736df288daca2b28832de288dda3a0aedf61f1144a6ae7c282fca99b22
https://floka.casethemes.net/blog-standard/page/4/,blog-standard/page/4/index.html,200,61c2afaeb5642bb10b5a884c74f71207cd1a9ddaac58bed59213a4f8fcc48885
